location,data,days,nbirds,nsamp,avg Nb/cat,annbirds,Loss birds,Blancher birds,nmammals,Loss mammals,Nm/NS,annmammals,year,exclude,ref
US,stomach,1,9,107,0.08411215,30.70093458,33.18,NA,NA,NA,NA,NA,1939,X,"McMurry, F. B. & Sperry, C. C. Food of feral house cats in Oklahoma, a progress report. J. Mamm. 22, 185-190 (1941)."
US,stomach,1,28,202,0.138613861,50.59405941,31.1,31,103,124.25,0.50990099,186.1138614,1949,X,"Eberhard, T. Food habits of Pennsylvania house cats. J. Wildl. Manage. 18, 284-286 (1954)."
EU,prey return,90,238,68,3.5,14.19444444,12.4,NA,539,35.79,7.926470588,32.14624183,2002,X,"Nelson, S. H., Evans, A. D. & Bradbury, R. B. The efficacy of collar-mounted devices in reducing the rate of predation of wildlife by domestic cats. Appl. Anim. Behav. Sci. 94, 273- 285 (2005)."
EU,scat,1,92.6,1199,0.077231026,28.18932444,21.92,NA,422,NA,0.351959967,128.4653878,1984,X,"Liberg, O. Food habits and prey impact by feral and house-based domestic cats in a rural area in southern Sweden. J. Mammal.
65, 424–432 (1984)."
EU,prey return,153,2784,696,4,9.54248366,6.74,6.7,7837,30.55,11.26005747,26.86222861,1997,,"Woods, M., McDonald, R. A. & Harris, S. Predation of wildlife by domestic cats (Felis catus) in Great Britain. Mammal. Rev. 33, 174-188 (2003)."
EU,prey return,90,119,275,0.432727273,1.754949495,1.14,0.6,328,3.75,1.192727273,4.837171717,2005,,"Baker, P. J., S. E. Molony, E. Stone, I. C. Cuthill, and S. Harris. 2008. Cats about town: is predation by free-ranging pet cats Felis catus likely to affect urban bird populations? Ibis 150 (Suppl. 1):86-99. http://dx.doi.org/10.1111/j.1474-919X.2008.00836. x"
US,prey return,60,8,12,0.666666667,4.055555556,1.64,1.6,51,19.41,4.25,25.85416667,2002,,"Kays, R. W., and A. A. DeWan. 2004. Ecological impact of inside/outside house cats around a suburban nature preserve. Animal Conservation 7:273-283. http://dx.doi.org/10.1017/ S1367943004001489"
EU,prey return,365,297,70,4.242857143,4.242857143,3.81,5.6,535,6.87,7.642857143,7.642857143,1982,,"Churcher,P.B.,andJ.H.Lawton.1987.Predationbydomestic cats in an English village. Journal of Zoology 212:439-455. http://dx.doi.org/10.1111/j.1469-7998.1987.tb02915.x"
US,NA,NA,NA,NA,NA,NA,45.95,various,NA,NA,NA,NA,various,X,"Coleman, J. S., and S. A. Temple. 1996. On the prowl. Wisconsin Natural Resources 20(6):4-8."
EU,prey return,139,86,131,0.65648855,1.72387281,5.57,NA,269,15.43,2.053435115,5.39211379,2005,X,"Baker, P. J., Bentley, A. J., Ansell, R. J. & Harris, S. Impact of predation by domestic cats Felis catus in an urban area. Mammal. Rev. 35, 302-312 (2005)."
US,prey return,NA,NA,41,NA,3.44,4.2,3.4,NA,NA,NA,NA,1999,,"Fiore, C. A. Domestic cat (Felis catus) predation of birds in an urban environment. Thesis (Wichita State University, 2000)."
EU,prey return,48,13,32,0.40625,3.089192708,1.7,1.8,89,30.5,2.78125,21.14908854,2007,,"Tschanz, B., Hegglin, D., Gloor, S. & Bontadina, F. Hunters andnon-hunters: skewed predation rate by domestic cats in a rural village. Eur. J. Wildl. Res. 57, 597–602 (2011)."
US,camera,7,4,55,0.072727273,3.792207792,NA,NA,10,NA,0.181818182,9.480519481,2011,,"Loyd, K. A. T., Hernandez, S. M., Carroll, J. P., Abernathy, K. J., & Marshall, G. J. (2013). Quantifying free-roaming domestic cat predation using animal-borne video cameras. Biological Conservation, 160, 183-189."
EU,prey return,450,265,66,4.015151515,3.256734007,NA,NA,1178,NA,17.84848485,14.47710438,2010, ,"Kauhala, K., Talvitie, K., & Vuorisalo, T. (2015). Free-ranging house cats in urban and rural areas in the north: useful rodent killers or harmful bird predators?. Folia Zoologica, 64(1), 45-56."
